,K,NDTR,ret
682,45,3450,3.112350704459721e-05
683,45,3500,4.32830506344708e-05
684,45,3550,4.3179681191401484e-05
685,45,3600,3.447723410586843e-05
686,45,3650,7.676544745283723e-05
687,45,3700,0.00011549392128988568
688,45,3750,0.00010174422519084388
689,45,3800,0.00011765387563773568
690,45,3850,0.00012645700969280034
691,45,3900,0.0023183921005614293
692,45,3950,-0.0001395837664298614
693,50,150,0.0
694,50,200,-9.353745683357369e-06
695,50,250,-0.00011120668777086017
696,50,300,0.0
697,50,350,-9.216588249146852e-06
698,50,400,1.4956513539615441e-06
699,50,450,1.109934261514608e-06
700,50,500,2.6078230008900676e-05
701,50,550,5.441573363948096e-06
702,50,600,-4.6719343218161954e-06
703,50,650,6.297196511574101e-07
704,50,700,3.622705656887053e-06
705,50,750,8.067031143112217e-06
706,50,800,8.193301100084428e-06
707,50,850,-2.2591889668693863e-05
708,50,900,-2.079635295242119e-05
709,50,950,-1.17310509584077e-05
710,50,1000,-2.8262296898622374e-05
711,50,1050,-1.6846650357467666e-05
712,50,1100,-2.7857985521699517e-05
713,50,1150,-1.9747286279111706e-05
714,50,1200,-4.2116551703725905e-05
715,50,1250,-2.2643845322147363e-05
716,50,1300,-6.417574680400062e-06
717,50,1350,-1.375102483705909e-05
718,50,1400,-1.9320241998642908e-05
719,50,1450,0.0
720,50,1500,0.0
721,50,1550,0.0
722,50,1600,0.0
723,50,1650,0.0
724,50,1700,0.0
725,50,1750,0.0
726,50,1800,0.0
727,50,1850,0.0
728,50,1900,0.0
729,50,1950,9.967466031374208e-06
730,50,2000,8.40907001000175e-06
731,50,2050,-4.410445303742362e-06
732,50,2100,3.501016220734032e-07
733,50,2150,2.8375676592691723e-05
734,50,2200,-4.961293841971602e-06
735,50,2250,-5.1797980815315946e-06
736,50,2300,7.746788506808683e-06
737,50,2350,-1.9273785728191187e-06
738,50,2400,-2.3381521248491004e-06
739,50,2450,-1.0786709555729188e-06
740,50,2500,-5.439123184215646e-05
741,50,2550,-5.7331564682121094e-05
742,50,2600,-6.354464503619186e-05
743,50,2650,-8.433631981038251e-05
744,50,2700,-8.140713949976648e-05
745,50,2750,-7.029646722983473e-05
746,50,2800,-7.16651488509814e-05
747,50,2850,-0.00010309779803683149
748,50,2900,-6.236228888748254e-05
749,50,2950,-6.193610079541933e-05
750,50,3000,-6.593793848971818e-05
751,50,3050,-3.84415022321755e-05
752,50,3100,-3.906680972847705e-05
753,50,3150,-3.837065034905052e-05
754,50,3200,2.3881087789370507e-05
755,50,3250,1.3093759066212489e-05
756,50,3300,3.2128204080309104e-05
757,50,3350,2.4614266772269472e-05
758,50,3400,4.236290030204014e-05
759,50,3450,3.1651409618157894e-05
760,50,3500,4.429054184324078e-05
761,50,3550,4.626057319630556e-05
762,50,3600,3.243667104027351e-05
763,50,3650,9.548593991707119e-05
764,50,3700,0.00011569289666846554
765,50,3750,9.239207105585209e-05
766,50,3800,0.00011961497404649188
767,50,3850,0.00013094139817782324
768,50,3900,0.00013768741053197942
769,50,3950,0.00014871566832712438
770,55,150,0.0
771,55,200,-1.1462767443847117e-05
772,55,250,-3.292373232477363e-06
773,55,300,1.3407930691988856e-05
774,55,350,-8.042879371273766e-06
775,55,400,-7.888374938006725e-07
776,55,450,5.421702718095739e-07
777,55,500,2.4718931135797585e-05
778,55,550,-9.228245453651343e-06
779,55,600,-5.782705635909832e-07
780,55,650,-3.840833459604204e-06
781,55,700,2.7933869618389995e-06
782,55,750,1.1347550240499552e-05
783,55,800,9.98655918507182e-06
784,55,850,-1.5163256101979669e-05
785,55,900,-1.971865744089439e-05
786,55,950,-8.935798408200977e-06
787,55,1000,-2.7218997048643496e-05
788,55,1050,-2.1695782964524024e-05
789,55,1100,-2.745101197205184e-05
790,55,1150,-2.3176114492202292e-05
791,55,1200,-4.1127155958105494e-05
792,55,1250,-7.968105806037596e-06
793,55,1300,-1.4772703241963892e-05
794,55,1350,-9.780548007380829e-06
795,55,1400,-1.0615634870969846e-05
796,55,1450,-1.0814457749932262e-05
797,55,1500,4.183893866565826e-05
798,55,1550,0.0
799,55,1600,0.0
800,55,1650,0.0
801,55,1700,0.0
802,55,1750,0.0
803,55,1800,0.0
804,55,1850,0.0
805,55,1900,0.0
806,55,1950,6.500541687652823e-06
807,55,2000,9.40427143592625e-06
808,55,2050,-8.414590785928533e-07
809,55,2100,-2.842494120372806e-06
810,55,2150,2.2495965226498298e-05
811,55,2200,-6.8348861410456254e-06
812,55,2250,-6.0405229629566704e-06
813,55,2300,1.1657658771250494e-05
814,55,2350,-1.6488148096418109e-06
815,55,2400,-4.779348798846723e-06
816,55,2450,1.1440864240134808e-06
817,55,2500,-5.76332057871021e-05
818,55,2550,-5.6218646823332406e-05
819,55,2600,-6.85172915465251e-05
820,55,2650,-8.98339116662904e-05
821,55,2700,-8.09736496940429e-05
822,55,2750,-7.448415596413459e-05
823,55,2800,-7.437495237771231e-05
824,55,2850,-9.625419235947292e-05
825,55,2900,-6.438933461464679e-05
826,55,2950,-6.579001308580088e-05
827,55,3000,-7.41455411620497e-05
828,55,3050,-3.641265825694332e-05
829,55,3100,-3.376415532943042e-05
830,55,3150,-3.7711541794873877e-05
831,55,3200,2.632257395275544e-05
832,55,3250,1.620785579341147e-05
833,55,3300,3.93453800803455e-05
834,55,3350,3.7051157350074574e-05
835,55,3400,4.052368325458966e-05
836,55,3450,3.445311535567192e-05
837,55,3500,4.4743998757932655e-05
838,55,3550,4.6602278575928044e-05
839,55,3600,3.273570303539614e-05
840,55,3650,0.00010171857438869064
841,55,3700,0.0001235180862475299
842,55,3750,9.264504180157849e-05
843,55,3800,0.00011704329592382434
844,55,3850,0.00012917800025117983
845,55,3900,0.00014163097370242442
846,55,3950,0.00014917872844269934
847,60,150,0.0
848,60,200,-1.461483144200774e-05
849,60,250,-8.004611774524795e-06
850,60,300,1.088446649459816e-05
851,60,350,-4.213483176740001e-06
